GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecj,ec.app.ant.func,Right,59,0,5,0,18,0,9,0,5,0
ecj,ec.app.ant.func,IfFoodAhead,389,0,26,0,43,0,21,0,5,0
ecj,ec.app.ant.func,Left,59,0,5,0,18,0,9,0,5,0
ecj,ec.app.ant.func,Progn4,105,0,0,0,13,0,5,0,5,0
ecj,ec.app.ant.func,Move,271,0,38,0,38,0,27,0,5,0
ecj,ec.app.ant.func,Progn3,81,0,0,0,11,0,5,0,5,0
ecj,ec.app.ant.func,Progn2,57,0,0,0,9,0,5,0,5,0
ecj,ec.eda.amalgam,AMALGAMDefaults,8,0,0,0,2,0,2,0,2,0
ecj,ec.eda.amalgam,AMALGAMBreeder,99,0,8,0,17,0,7,0,3,0
ecj,ec.eda.amalgam,AMALGAMSpecies,1759,0,152,0,277,0,92,0,16,0
ecj,ec.eda.amalgam,AMALGAMSpecies.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
ecj,ec.es,ESSelection,108,0,8,0,17,0,9,0,5,0
ecj,ec.es,MuCommaLambdaBreeder,1286,0,86,0,145,0,49,0,6,0
ecj,ec.es,MuCommaLambdaBreeder.new Comparator() {...},28,0,4,0,6,0,4,0,2,0
ecj,ec.es,MuLambdaBreederThread,17,0,0,0,3,0,2,0,2,0
ecj,ec.es,MuPlusLambdaBreeder,46,0,4,0,6,0,5,0,3,0
ecj,ec.es,ESDefaults,8,0,0,0,2,0,2,0,2,0
ecj,ec.app.lid.func,LidJ,8,0,0,0,4,0,4,0,4,0
ecj,ec.app.lid.func,LidX,8,0,0,0,4,0,4,0,4,0
ecj,ec.app.sum,Sum,74,0,8,0,15,0,7,0,3,0
ecj,ec.app.edge.func,Double,136,0,2,0,24,0,5,0,4,0
ecj,ec.app.edge.func,Bud,194,0,4,0,35,0,6,0,4,0
ecj,ec.app.edge.func,One,21,0,0,0,7,0,4,0,4,0
ecj,ec.app.edge.func,Reverse,45,0,0,0,10,0,4,0,4,0
ecj,ec.app.edge.func,BLoop,136,0,2,0,24,0,5,0,4,0
ecj,ec.app.edge.func,BAccept,35,0,0,0,8,0,4,0,4,0
ecj,ec.app.edge.func,BStart,35,0,0,0,8,0,4,0,4,0
ecj,ec.app.edge.func,Start,35,0,0,0,8,0,4,0,4,0
ecj,ec.app.edge.func,Accept,35,0,0,0,8,0,4,0,4,0
ecj,ec.app.edge.func,Loop,136,0,2,0,24,0,5,0,4,0
ecj,ec.app.edge.func,BBud,194,0,4,0,35,0,6,0,4,0
ecj,ec.app.edge.func,Zero,21,0,0,0,7,0,4,0,4,0
ecj,ec.app.edge.func,Epsilon,21,0,0,0,7,0,4,0,4,0
ecj,ec.app.edge.func,Split,199,0,4,0,36,0,6,0,4,0
ecj,ec.app.ecsuite,ECSuite,1487,1753,167,2,247,16,104,3,11,3
ecj,ec.app.moosuite,MooSuite,1000,0,86,0,161,0,53,0,4,0
ecj,ec.app.majority,CA,285,0,32,0,52,0,25,0,9,0
ecj,ec.app.majority,MajorityData,15,0,0,0,5,0,2,0,2,0
ecj,ec.app.majority,MajorityGA,1068,0,64,0,97,0,42,0,10,0
ecj,ec.app.majority,MajorityGP,565,0,62,0,91,0,40,0,9,0
ecj,ec.app.xor,XOR,222,0,16,0,29,0,10,0,2,0
ecj,ec.vector.breed,ListCrossoverPipeline,934,0,80,0,143,0,49,0,9,0
ecj,ec.vector.breed,MultipleVectorCrossoverPipeline,296,0,24,0,45,0,19,0,7,0
ecj,ec.vector.breed,VectorCrossoverPipeline,274,0,26,0,49,0,20,0,7,0
ecj,ec.vector.breed,VectorMutationPipeline,59,0,4,0,11,0,6,0,4,0
ecj,ec.vector.breed,GeneDuplicationPipeline,144,0,10,0,27,0,9,0,4,0
ecj,ec.coevolve,GuruComparator,38,0,0,0,3,0,3,0,3,0
ecj,ec.coevolve,CompetitiveEvaluator,1378,0,113,0,227,0,72,0,14,0
ecj,ec.coevolve,NRandomTwoWayCompetitiveEvaluatorThread,21,0,0,0,2,0,2,0,2,0
ecj,ec.coevolve,IndComparator,19,0,0,0,3,0,3,0,3,0
ecj,ec.coevolve,EncapsulatedIndividual,9,0,0,0,4,0,1,0,1,0
ecj,ec.coevolve,CompetitiveEvaluatorThread,3,0,0,0,1,0,1,0,1,0
ecj,ec.coevolve,MultiPopCoevolutionaryEvaluator,1163,221,122,20,147,38,76,7,9,3
ecj,ec.coevolve,RoundRobinCompetitiveEvaluatorThread,21,0,0,0,2,0,2,0,2,0
ecj,ec.coevolve,NRandomOneWayCompetitiveEvaluatorThread,21,0,0,0,2,0,2,0,2,0
ecj,ec,Subpopulation,770,27,73,1,127,6,50,3,13,3
ecj,ec,Finisher,0,3,0,0,0,1,0,1,0,1
ecj,ec,Problem,29,4,0,0,13,2,10,2,10,2
ecj,ec,Initializer,0,3,0,0,0,1,0,1,0,1
ecj,ec,Exchanger,5,3,0,0,4,1,4,1,4,1
ecj,ec,BreedingPipeline,525,69,74,6,74,14,51,2,11,2
ecj,ec,SelectionMethod,108,3,12,0,21,1,12,1,6,1
ecj,ec,Individual,244,30,2,2,53,7,18,5,17,4
ecj,ec,Statistics,394,82,51,5,66,11,46,2,18,2
ecj,ec,Species,84,97,0,0,20,16,4,3,4,3
ecj,ec,Evolve,994,17,96,0,186,4,59,1,11,1
ecj,ec,Breeder,0,3,0,0,0,1,0,1,0,1
ecj,ec,EvolutionState,175,324,25,13,36,66,24,5,6,4
ecj,ec,ECDefaults,3,5,0,0,1,1,1,1,1,1
ecj,ec,Evaluator,57,34,3,1,13,7,6,2,4,2
ecj,ec,Population,479,41,38,2,73,7,30,3,11,2
ecj,ec,Fitness,462,51,42,6,85,16,41,8,19,6
ecj,ec,BreedingSource,60,21,3,1,13,5,9,2,7,2
ecj,ec.app.edge,Edge.new Comparator() {...},61,0,14,0,9,0,9,0,2,0
ecj,ec.app.edge,EdgeData,9,0,0,0,2,0,2,0,2,0
ecj,ec.app.edge,Edge,1907,0,179,0,267,0,104,0,13,0
ecj,ec.app.multiplexer,Fast,1762,0,0,0,7,0,2,0,2,0
ecj,ec.app.multiplexer,MultiplexerData,82,0,4,0,20,0,7,0,5,0
ecj,ec.app.multiplexer,Multiplexer,241,0,22,0,46,0,14,0,3,0
ecj,ec.app.twobox,TwoBoxData,9,0,0,0,2,0,2,0,2,0
ecj,ec.app.twobox,TwoBox,380,0,18,0,49,0,13,0,4,0
ecj,ec.app.hiff,HIFF,225,0,24,0,39,0,18,0,6,0
ecj,ec.app.royaltree,RoyalTree,194,0,22,0,41,0,16,0,5,0
ecj,ec.vector,ShortVectorIndividual,1332,0,151,0,204,0,103,0,24,0
ecj,ec.vector,FloatVectorSpecies,1429,0,152,0,209,0,89,0,13,0
ecj,ec.vector,IntegerVectorIndividualP1E1,1317,0,151,0,204,0,103,0,24,0
ecj,ec.vector,VectorDefaults,3,5,0,0,1,1,1,1,1,1
ecj,ec.vector,GeneVectorSpecies,32,0,0,0,7,0,2,0,2,0
ecj,ec.vector,BitVectorSpecies,171,0,14,0,32,0,11,0,4,0
ecj,ec.vector,IntegerVectorIndividual,1229,88,147,4,187,17,96,7,18,6
ecj,ec.vector,LongVectorIndividual,1385,0,163,0,218,0,111,0,26,0
ecj,ec.vector,DoubleVectorIndividual,2056,58,230,7,333,12,150,5,28,3
ecj,ec.vector,VectorIndividual,27,3,0,0,13,1,11,1,11,1
ecj,ec.vector,Gene,91,0,0,0,19,0,14,0,14,0
ecj,ec.vector,ByteVectorIndividual,1332,0,151,0,204,0,103,0,24,0
ecj,ec.vector,VectorSpecies,1266,347,134,28,175,58,86,13,9,9
ecj,ec.vector,FloatVectorIndividual,2160,0,237,0,344,0,155,0,31,0
ecj,ec.vector,BitVectorIndividual,851,0,91,0,149,0,69,0,21,0
ecj,ec.vector,GeneVectorIndividual,936,0,94,0,152,0,70,0,21,0
ecj,ec.vector,IntegerVectorSpecies,600,315,82,26,87,53,55,9,4,6
ecj,ec.vector,IntegerVectorSpeciesP1E1,1482,0,140,0,236,0,91,0,21,0
ecj,ec.app.parity.func,Or,34,0,2,0,7,0,5,0,4,0
ecj,ec.app.parity.func,Nand,43,0,2,0,9,0,5,0,4,0
ecj,ec.app.parity.func,And,35,0,2,0,7,0,5,0,4,0
ecj,ec.app.parity.func,D29,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D28,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D27,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D26,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D31,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D30,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D19,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D18,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D17,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D16,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D15,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D25,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D24,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D23,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D22,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D21,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D20,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D14,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D13,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D12,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D11,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D10,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D0,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D1,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D2,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D3,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D8,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D9,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D4,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D5,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D6,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,D7,18,0,0,0,5,0,4,0,4,0
ecj,ec.app.parity.func,Nor,42,0,2,0,9,0,5,0,4,0
ecj,ec.de,Rand1EitherOrDEBreeder,231,0,30,0,30,0,18,0,3,0
ecj,ec.de,Best1BinDEBreeder,199,0,22,0,27,0,14,0,3,0
ecj,ec.de,DEEvaluator,129,0,14,0,16,0,9,0,2,0
ecj,ec.de,DEBreeder,473,0,58,0,69,0,36,0,7,0
ecj,ec.app.bbob,BBOBenchmarks,7585,0,668,0,1052,0,386,0,14,0
ecj,ec.app.cartpole,CartPole,331,0,24,0,60,0,17,0,5,0
ecj,ec.app.parity,ParityData,9,0,0,0,2,0,2,0,2,0
ecj,ec.app.parity,Parity,177,0,20,0,29,0,13,0,3,0
ecj,ec.app.singular,Singular,108,0,4,0,13,0,5,0,3,0
ecj,ec.app.regression.func,KornsERC,22,0,4,0,5,0,5,0,3,0
ecj,ec.app.regression.func,Sin,28,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,X5,31,0,2,0,9,0,5,0,4,0
ecj,ec.app.regression.func,X4,31,0,2,0,9,0,5,0,4,0
ecj,ec.app.regression.func,X1,31,0,2,0,9,0,5,0,4,0
ecj,ec.app.regression.func,X3,31,0,2,0,9,0,5,0,4,0
ecj,ec.app.regression.func,X2,31,0,2,0,9,0,5,0,4,0
ecj,ec.app.regression.func,Div,52,0,2,0,11,0,5,0,4,0
ecj,ec.app.regression.func,Add,43,0,0,0,9,0,4,0,4,0
ecj,ec.app.regression.func,Mul,43,0,0,0,9,0,4,0,4,0
ecj,ec.app.regression.func,X,17,0,0,0,6,0,4,0,4,0
ecj,ec.app.regression.func,Inv,29,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,Cube,33,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,Tan,28,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,Log,36,0,2,0,7,0,5,0,4,0
ecj,ec.app.regression.func,NegExp,30,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,VladERCC,38,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,VladERCA,52,0,0,0,10,0,6,0,6,0
ecj,ec.app.regression.func,VladERCB,38,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,Sqrt,28,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,Sub,43,0,0,0,9,0,4,0,4,0
ecj,ec.app.regression.func,Tanh,28,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,Exp,28,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,RegERC,114,0,6,0,26,0,13,0,10,0
ecj,ec.app.regression.func,KeijzerERC,17,0,0,0,4,0,3,0,3,0
ecj,ec.app.regression.func,Square,30,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,Cos,28,0,0,0,7,0,4,0,4,0
ecj,ec.app.regression.func,Neg,29,0,0,0,7,0,4,0,4,0
ecj,ec.app.gui,SimpleXYSeriesChartStatistics,111,0,8,0,16,0,7,0,3,0
ecj,ec.app.gui,SimpleBarChartStatistics,108,0,8,0,16,0,7,0,3,0
ecj,ec.app.multiplexerslow,Multiplexer,174,0,14,0,25,0,10,0,3,0
ecj,ec.app.multiplexerslow,MultiplexerData,9,0,0,0,2,0,2,0,2,0
ecj,ec.pso,Particle,1792,0,264,0,340,0,152,0,20,0
ecj,ec.pso,PSOBreeder,377,0,30,0,51,0,18,0,3,0
